actor_id,actor_name,degree_centrality,degree
nm0001132,Judi Dench,0.001606760295167817,54
nm0000949,Cate Blanchett,0.0031540109497738633,106
nm0184392,Martin Kove,0.0033027850511782907,111
nm0566044,Tane McClure,0.0001487741014044275,5
nm0007940,Bruce Abbott,0.00017852892168531301,6
nm0120494,Robert Z'Dar,0.0014877410140442752,50
nm0001772,Patrick Stewart,0.0014877410140442752,50
nm0000463,Famke Janssen,0.0021125922399428706,71
nm0000169,Tommy Lee Jones,0.0018150440371340157,61
nm0000226,Will Smith,0.0019340633182575576,65
nm0001800,Rip Torn,0.0010711735301118781,36
nm0001223,Lara Flynn Boyle,0.00035705784337062603,12
nm0000354,Matt Damon,0.003064746488931207,103
nm0000106,Drew Barrymore,0.0016662699357295882,56
nm0000597,Bill Pullman,0.0020828374196619854,70
nm0108028,Jim Breuer,0.00017852892168531301,6
nm0005450,David Spade,0.00059509640561771,20
nm0000422,John Goodman,0.0025886693644370387,87
nm0457755,Eartha Kitt,8.926446084265651e-05,3
nm0911320,Patrick Warburton,0.0012794572720780766,43
nm0000307,Helena Bonham Carter,0.0016365151154487027,55
nm0001833,Emily Watson,0.0019638181385384433,66
nm0001808,Tracey Ullman,0.0005355867650559391,18
nm0222881,Tony Devon,0.006427041180671268,216
nm3083522,Lori Singleton,0.00020828374196619852,7
nm4024721,Mark Dermott,8.926446084265651e-05,3
nm2741355,Thomas Finn,8.926446084265651e-05,3
nm0159789,Hayden Christensen,0.0014579861937633898,49
nm0000204,Natalie Portman,0.0022911211616281836,77
nm0000191,Ewan McGregor,0.0033027850511782907,111
nm0000489,Christopher Lee,0.00032730302308974055,11
nm0000168,Samuel L. Jackson,0.00443346822185194,149
nm0000454,Dennis Hopper,0.0016960247560104736,57
nm0005420,Marley Shelton,0.0011306831706736492,38
nm0347957,Devon Gummersall,0.00017852892168531301,6
nm0001735,Talia Shire,0.0005653415853368246,19
nm0002006,Thomas Haden Church,0.0014877410140442752,50
nm0881948,Justin Urich,0.00017852892168531301,6
nm0005160,Lisa Loeb,8.926446084265651e-05,3
nm0653959,Rick Overton,8.926446084265651e-05,3
nm0000141,David Duchovny,0.0012199476315163057,41
nm0000378,Minnie Driver,0.0013687217329207333,46
nm0005279,Carroll O'Connor,8.926446084265651e-05,3
nm0005162,Robert Loggia,0.0019043084979766722,64
nm0513281,Alex D. Linz,0.00035705784337062603,12
nm0000511,Shirley MacLaine,0.0010414187098309927,35
nm0000641,Gary Sinise,0.0008628897881456796,29
nm0000725,Joey Lauren Adams,0.0020530825993811,69
nm0001698,John Savage,0.003719352535110688,125
nm0005554,James Wilder,8.926446084265651e-05,3
nm0056249,Joanne Baron,0.0011306831706736492,38
nm1304423,Ceasar Cavaricci,8.926446084265651e-05,3
nm0000969,Lillo Brancato,0.0011604379909545346,39
nm0532461,Justina Machado,0.00017852892168531301,6
nm0116599,Keith Brunsmann,8.926446084265651e-05,3
nm0471180,David Kriegel,8.926446084265651e-05,3
nm0000244,Sigourney Weaver,0.002172101880504642,73
nm0001349,Jennifer Love Hewitt,0.0005355867650559391,18
nm0000432,Gene Hackman,0.0007438705070221376,25
nm0000501,Ray Liotta,0.0027969531064032374,94
nm0000196,Mike Myers,0.0005058319447750535,17
nm0000552,Eddie Murphy,0.0015770054748869317,53
